ISO,Violentos_Africa,Violentos_Americas,Violentos_Asia,Violentos_Europa,Violentos
NOR,3008.50297613505,8608.31769276661,7589.56664284437,1320.56683622589,5131.73853699298
NPL,6827.46111039508,14835.2669368174,2938.57375304475,6285.81799109892,7721.77994783903
NRU,15499.7568255768,11926.4669549959,7053.78271886161,13940.3604244137,12105.091730962
NZL,18143.0334801623,12142.9166803005,10444.9937193548,18090.3482346826,14705.3230286251
OMN,4519.47931380797,13936.527935099,5230.75911000272,4673.59794928615,7090.09107704897
PAK,5496.1459818255,13829.9754253737,3704.01927051708,4968.53750258519,6999.66954507537
PAN,9728.63132340483,1296.40551225283,15276.425595388,9649.54710484358,8987.7523839723
PCN,16364.6890612209,6823.11297880467,14086.896420412,16023.4451400335,13324.5359001178
PER,10752.2228713941,3471.78263761124,17454.1210851423,11217.0155298434,10723.7855309978
PHL,10735.2176903191,15377.9587070756,2650.80334077907,9862.00617976476,9656.49647948462
PLW,12389.5562529005,14818.508668406,3959.48471580438,11391.0784121297,10639.6570123101
PNG,14647.3886932137,14297.9722735978,6154.99091858409,13712.0628829732,12203.1036920922
POL,2238.82606876431,9490.58400521415,7317.53579483146,671.119240538562,4929.51627733712
PRT,2111.19765784159,7582.84133077503,9998.3926752744,2352.65245569161,5511.27102989566
PRY,9883.35494546998,5662.80270265776,17961.4500830273,10974.4173289528,11120.5062650269
QAT,3805.64080007133,13305.2701486671,5783.28592540555,4077.3638278684,6742.89017550308
ROU,1700.48839882692,10206.6598078202,7248.4724079763,1067.41595408183,5055.75914217632
RUS,3166.18105854303,10234.3461576683,6221.01960988363,1725.66464123361,5336.80286683213
RWA,4246.38456110776,12735.3569373199,9170.69289606037,5830.51095775663,7995.73633806116
SAU,3384.72236273671,12976.4190877975,6246.03784309288,3831.00476228555,6609.54601397817
SDN,2735.8281939157,12241.1466339288,7970.65878956656,4028.02336560159,6743.91424575317
SEN,3692.85069302873,7209.99687990996,12349.2732775956,4899.20402165794,7037.83121804805
SGP,9999.57113703583,17604.880328107,3600.95911612552,9758.02552423457,10240.8590263757
SHN,5765.06343429021,9481.94144999247,13255.3947943882,7521.95165190881,9006.08783264492
SLB,15735.9609989887,12951.2062852479,7085.71885956202,14473.3250062316,12561.5527875075
SLE,3836.47093720904,7824.84593201445,12459.145434534,5283.49596624989,7350.98956750185
SLV,10315.5243318673,724.542190170028,14497.1409896151,9928.83281047957,8866.510080533
SMR,1227.11431369906,9224.32444768784,8239.27766521106,880.780121097598,4892.87413692389
STP,3666.64607520123,10200.8657537175,11204.1221509885,5493.58723661959,7641.30530413172
SUR,7644.04727506328,3572.96546314898,15392.4149307073,8148.21512081463,8689.41069743354
